"Country","Very important","Rather important","Not very important","Not at all important"
"Andorra","86.7","12.8","0.3","0.2"
"Argentina","91.4","7.5","0.7","0.2"
"Australia","93.7","4.6","1","0.1"
"Brazil","86.4","13.1","0.2","0.3"
"Bulgaria","89.4","9","1","0.3"
"Canada","92.4","6.7","0.5","0.1"
"Chile","90.2","8.7","0.6","0.3"
"China","78.1","19.3","1.4","0.1"
"Taiwan","91.7","7.5","0.6","0.2"
"Cyprus","93.3","5.8","0.5","0.3"
"Ethiopia","92.7","5.5","1.2","0.6"
"Finland","86.7","10.9","1.3","0.2"
"France","86.2","11.3","1.9","0.4"
"Georgia","98.7","0.9","0.1","0.1"
"Germany","81.5","15","2.7","0.4"
"Ghana","94.4","3.8","1.4","0.3"
"Guatemala","98.4","1.4","0.1","0.1"
"Hong Kong","55.4","41.5","2.3","0.2"
"Hungary","86.4","10.2","1.1","2.3"
"India","90.1","8.5","0.8","0"
"Indonesia","97.4","1.8","0.1","0"
"Iran","93.7","5.2","0.7","0.3"
"Iraq","95.9","3.6","0.1","0.1"
"Italy","93","6.2","0.4","0.1"
"Japan","91.3","6.2","0.9","0.1"
"Jordan","96.8","2.6","0.4","0.2"
"South Korea","92.3","7.5","0.2","0"
"Malaysia","96.2","3.8","0","0"
"Mali","91.5","5.9","1","0.1"
"Mexico","94.9","4.1","0.4","0.3"
"Moldova","83.1","15.6","1","0.3"
"Morocco","96","3.4","0.6","0"
"Netherlands","80","14","3.6","1.2"
"New Zealand","93.3","5.5","1","0"
"Norway","90","9.1","0.8","0"
"Peru","81.4","16.7","1.7","0.1"
"Poland","93.6","5.4","0.4","0.3"
"Romania","85","12.3","0.7","0.3"
"Russia","89","8.8","1.1","0.2"
"Rwanda","63.2","34.9","1.5","0"
"Viet Nam","81.2","18.4","0.3","0"
"Slovenia","88.7","8.9","1.3","0.8"
"South Africa","95.6","3.5","0.5","0.3"
"Spain","88.9","9.9","0.9","0.1"
"Sweden","92.1","6.8","0.7","0.3"
"Switzerland","85.5","12.7","1.7","0.1"
"Thailand","86","13","0.6","0.1"
"Trinidad and Tobago","95.6","3.2","0.7","0.3"
"Turkey","97.7","2.1","0.1","0.1"
"Ukraine","86.8","10.7","1.4","0.1"
"Egypt","97.7","2.1","0.2","0"
"United Kingdom","93.3","5","1","0.4"
"United States","94.2","4.9","0.5","0"
"Burkina Faso","94.7","4.4","0.6","0.1"
"Uruguay","89.3","10","0.3","0.3"
"Serbia and Montenegro","93.2","5.7","0.3","0.2"
"Zambia","90.9","6.9","1.3","0.2"
